,state,x,y
0,Arizona,-203,-40
1,Arkansas,57,-53
2,Connecticut,297,96
3,Delaware,275,42
4,Florida,220,-145
5,Georgia,182,-75
6,Hawaii,-317,-143
7,Idaho,-216,122
8,Illinois,95,37
9,Indiana,133,39
10,Iowa,38,65
11,Kansas,-17,5
12,Kentucky,149,1
13,Louisiana,59,-114
14,Maine,319,164
15,Maryland,288,27
16,Massachusetts,312,112
17,Michigan,148,101
18,Minnesota,23,135
19,Mississippi,94,-78
20,Missouri,49,6
21,Montana,-141,150
22,Nebraska,-61,66
23,New Hampshire,302,127
24,New Jersey,282,65
25,New Mexico,-128,-43
26,New York,236,104
27,North Carolina,239,-22
28,North Dakota,-44,158
29,Ohio,176,52
30,Oklahoma,-8,-41
31,Oregon,-278,138
32,Pennsylvania,238,72
33,Rhode Island,318,94
34,South Carolina,218,-51
35,South Dakota,-44,109
36,Tennessee,131,-34
37,Utah,-189,34
38,Vermont,282,154
39,Virginia,234,12
40,West Virginia,200,20
41,Wisconsin,83,113
42,Wyoming,-134,90
